Acres2009,XericRatio,ufa_predv,medi08to14,mean08to14,medi96to02,mean96to02,ddnmn96t02,ddnmd96t02,ddnmn08t14,ddnmd08t14,sasmd08t14,sasmn08t14,ufamd08t14,ufamx08t14,sasddnmd16,sasddnmx16,ufaddnmd16,ufaddnmx16,ufamd97t98,ufamn97t98,ufapotmd15,ufapotmn15,ufmndiff15,ufmeddif15,ufmddf9798,ufmndf9798,ufmddf1402,ufmddf1597,whasorno16
0.344668674,0,53.00465393,57.51243591,57.22486496,50.77776337,50.88059998,-1.79695797,-1.890949249,4.266059399,4.572780609,1.001220942,2.073280096,2.593261957,8.795026779,0.650551021,0.923447013,1.15051198,6.612386227,51.84100342,51.68304443,58.55903625,58.70920563,5.713634968,5.569894791,-0.843151093,-1.022949338,6.734668732,6.413045883,0
6.745362076,0,37.99310684,32.17855835,31.88872528,31.33732986,30.93508339,-6.800125599,-6.40132618,-5.883173943,-5.572629929,0.881835997,2.111573935,5.095325947,24.18726349,0.797051013,1.473610997,2.212141991,16.63215637,33.186306,32.39677048,33.84927368,33.67398453,-4.061980724,-3.880489349,-4.557962418,-5.332145691,0.841227531,0.677473068,1
4.520457343,0.314828,32.09177399,31.49214554,30.96860886,25.50104332,25.44872856,-6.600854397,-6.604997635,-1.206481695,-0.702695847,1.407418013,2.655461073,5.542158127,11.83280659,1.816509962,1.902201056,6.917679787,9.899765015,26.4949379,26.75305367,31.25909233,31.75879478,-0.452682018,-0.922762871,-5.603631973,-5.324780464,5.991101265,4.680869102,1
1.459852284,0.189832,67.22844696,67.16268158,67.57394409,66.60721588,66.75215149,-0.255057961,-0.322616577,0.562962174,0.154495239,1.652688026,2.232594013,2.221271992,3.047621012,1.640694022,1.79508698,1.984900951,2.756418943,70.2611084,69.09882355,71.81697083,72.00617981,4.848742008,4.661182404,3.141265869,2.032476425,0.555465698,1.519916534,1
24.71025195,0.568103,42.64537811,40.7554245,40.25196075,37.19025421,37.29920578,-5.527335644,-5.62925911,-2.489822865,-1.977207184,0.222317994,0.540309012,0.575477004,1.198901057,0.395200998,0.494534999,1.204038978,2.107254028,38.04962921,38.2536087,41.55054474,41.6227684,-1.111439705,-1.182554245,-4.760885239,-4.565653801,3.565170288,3.578330994,0
4.137826609,0.935357,35.50858688,34.95352173,34.67641068,32.7938118,32.87350845,-2.813387156,-2.900854111,-1.043557644,-0.771356583,0.645093024,1.710412025,0.590140998,1.311262012,0.603868008,0.655840993,0.58664602,0.685382009,33.88542175,33.72089005,36.23799896,36.40239716,0.666605651,0.510419846,-1.799131393,-1.96814692,2.159708023,2.309551239,1
0.613915626,0,44.48521423,41.26194,40.8502121,37.38520813,37.35301971,-7.199460506,-7.188392639,-3.728285074,-3.291788101,0.204852,0.495240986,0.777975023,1.290506005,0.308887005,0.363721997,1.068200946,1.366042018,37.92219543,38.29009247,42.11651611,42.14064789,-2.440195322,-2.468854904,-6.590293884,-6.248013496,3.876729965,4.12143898,1
12.70974846,0,41.71533966,40.13121033,39.66554642,39.24700165,38.83125687,-3.413337231,-3.016572952,-2.592447042,-2.13000679,0.502233028,0.888584971,3.929735899,10.42436981,0.337655008,0.440441996,3.269423008,5.230980873,40.46716309,39.93687439,42.18299866,42.4037323,0.169481277,-0.048280716,-1.799722672,-2.319082499,0.884208679,1.751441956,0
10.78547677,0,45.82443619,42.78411102,42.42854309,40.03318787,40.03612137,-6.770032883,-6.77296257,-4.37760973,-4.022039413,0.100078002,0.230235994,0.436448008,0.978100002,0.210299999,0.245480001,1.013797998,1.810544014,40.64640808,40.88702774,43.52867126,43.58164215,-3.224509001,-3.277479172,-6.15974617,-5.91912508,2.750923157,2.882266998,1
6.118916683,0,70.04898834,55.9139595,56.0716629,49.89800644,48.77812195,-21.43124199,-20.31799507,-13.84415722,-14.07394218,6.126397133,10.30533409,9.665719986,17.39748764,6.719576836,9.638051033,10.52676678,15.83799553,51.02856445,51.24423218,59.00202179,59.04437256,-10.89368534,-10.95284653,-19.17510796,-18.9862175,6.015953064,8.222261429,0
10.74382587,0.029739,45.47492981,43.87145233,43.37978363,34.87259674,34.29761124,-11.13023186,-10.50757599,-2.137998819,-1.635730743,1.21934998,2.817357063,3.319736958,8.945069313,0.844542027,1.01748395,1.979661942,7.733161926,35.557724,35.98875809,43.67719269,44.25717163,-1.323503494,-1.889307022,-9.897283554,-9.464572906,8.998855591,8.007976532,0
5.642764487,0,50,45.76452637,45.52409363,42.62776184,42.72185516,-7.278146267,-7.372236252,-4.475906372,-4.235471725,0.110876001,0.247566998,1.43244195,2.778826952,0.099004,0.177135006,1.51293397,3.423573971,43.10160446,42.99156952,47.01686859,46.93094254,-3.06905818,-2.983131409,-6.898395538,-7.008431435,3.136764526,3.91526413,1
